years;bugs resolved;Upper limit;Lower limit;;;;;;;;;;;
2008;3;58,44516594;-27,11183261;;;;;;;;;;;
2009;8;58,44516594;-27,11183261;;;;;;;;;;;
2010;20;58,44516594;-27,11183261;;;;;;;;;;;
2011;13;58,44516594;-27,11183261;;;;;;;;;;;
2012;11;58,44516594;-27,11183261;;;;;;;;;;;
2013;52;58,44516594;-27,11183261;;;;;;;;;;;
2014;27;58,44516594;-27,11183261;;;;;;;;;;;
2015;22;58,44516594;-27,11183261;;;;;;;;;;;
2016;20;58,44516594;-27,11183261;;;;;;;;;;;
2017;10;58,44516594;-27,11183261;;;;;;;;;;;
2019;1;58,44516594;-27,11183261;;;;;;;;;;;
2020;1;58,44516594;-27,11183261;;;;;;;;;;;
Media;15,66666667;;;;;;;;;;;;;
Dev standard;14,25949976;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
