Dataset,Training Release, Classifier, Precision, Recall, AUC, KAPPA
BOOKKEEPER,2,NaiveBayes,0.88,0.50,0.69,0.36
BOOKKEEPER,2,RandomForest,0.73,0.73,0.74,0.35
BOOKKEEPER,2,IBk,0.68,0.61,0.60,0.19
BOOKKEEPER,3,NaiveBayes,0.51,0.70,0.76,0.41
BOOKKEEPER,3,RandomForest,0.37,0.80,0.77,0.23
BOOKKEEPER,3,IBk,0.38,0.82,0.68,0.26
BOOKKEEPER,4,NaiveBayes,0.38,0.29,0.74,0.17
BOOKKEEPER,4,RandomForest,0.38,0.24,0.66,0.14
BOOKKEEPER,4,IBk,0.32,0.50,0.59,0.16
BOOKKEEPER,5,NaiveBayes,0.68,0.32,0.77,0.28
BOOKKEEPER,5,RandomForest,0.95,0.61,0.90,0.65
BOOKKEEPER,5,IBk,0.95,0.64,0.83,0.68
BOOKKEEPER,6,NaiveBayes,0.54,0.38,0.78,0.27
BOOKKEEPER,6,RandomForest,0.69,0.77,0.92,0.61
BOOKKEEPER,6,IBk,0.69,0.82,0.84,0.64
BOOKKEEPER,7,NaiveBayes,0.63,0.53,0.81,0.44
BOOKKEEPER,7,RandomForest,0.63,0.63,0.86,0.49
BOOKKEEPER,7,IBk,0.63,0.61,0.76,0.48
